도입_URL,가게이름,카테고리,전체평점,방문자리뷰,리뷰작성자,리뷰작성수,리뷰내용,방문시간,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,text_len
"https://map.naver.com/p/entry/place/38548187?c=15.00,0,0,0,dh",영지숯불갈비 본점,돼지고기구이,미공개,435,내일은밝으리,48,"양도많고 고기 질도 좋아요
3시 이전에 오니 냉면도 서비스로 주시네요^^매장도 깨끗하고 부모님도 아이도 모두 만족하고 갑니다^^",,0.502655745,0,0,0,0,0,0,71,3,48,0,0,-1,0,0,0.092289238,1,71
"https://map.naver.com/p/entry/place/1294155308?c=13.00,0,0,0,dh",진화쿵푸마라탕,중식당,미공개,717,Rafflesia49,8,마라탕 처음 먹으러 왔는데 맛있고 좋아요,,0.50469327,0,0,0,0,0,0,22,3,8,0,0,-1,0,0,0.084457921,0,22
"https://map.naver.com/p/entry/place/1595117576?c=13.00,0,0,0,dh",금별맥주 인하대점,"맥주,호프",미공개,112,opw****,15,친구들이랑 단체로 왔는데 안주도 다 맛있고 직원분들도 너무 친절하시고 잘 놀다 갔습니다~,,0.505383074,2,0,0.166666667,0,1,0,49,3,15,0.112054799,0,-1,0,0,0.13361515,1,49
"https://map.naver.com/p/entry/place/1294155308?c=13.00,0,0,0,dh",진화쿵푸마라탕,중식당,미공개,717,Anjsthfldi,21,"처음 오는데 사장님도 친절하시고 재료도 푸짐하게
있어서 좋아요ㅎㅎ",,0.503932178,1,0,0.125,0,1,0,36,3,21,0,0,-1,0,0,0.077544844,0,36
"https://map.naver.com/p/entry/place/1418606976?c=15.00,0,0,0,dh",순목,요리주점,미공개,52,라니7681,30,여느 가지튀김과는 다른 특별한 가지튀김! 거기다가 진짜 맛있어요!!! 가지튀김 꼭 드세요 두번 드세오!! 밀푀유나베도 진짜 맛있고 심지어 수제 과카몰리!! 나초랑 찰떡입니다👍 하이볼 메뉴도 다양한데 다 넘 맛있었어요 크,,0.504472375,1,1,0.035714286,0.035714286,1,1,122,3,30,0,0,-1,0,0,0.111037456,1,122
"https://map.naver.com/p/entry/place/1102006774?c=13.00,0,0,0,dh",샐러리아 인하대점,"다이어트,샐러드",미공개,634,몌담,46,저번에 훈제오리도시락 먹고 맛있어서 또 왔어요!! 구성도 알차고 맛있습니다,2025-07-22,0.503284574,0,0,0,0,0,0,41,3,46,0,0,-1,0,0,0.085401941,0,41
"https://map.naver.com/p/entry/place/1866654241?c=15.00,0,0,0,dh",멘야토리 라멘,일본식라면,미공개,150,오혜림,69,"라멘도 주문했는데 영수증을 못뽑아서 사이드 메뉴 추가 주문 한 걸로 리뷰 작성하게 되었네요
맛있어요👍",2025-09-14,0.503872037,3,1,0.214285714,0.071428571,1,1,57,3,69,0,0,-1,0,0,0.102135079,1,57
"https://map.naver.com/p/entry/place/1229258609?c=13.00,0,0,0,dh",하얀 감자탕,감자탕,미공개,32,겨울바다16,28,감자탕을 좋아해서 집근처 검색해보다가 하얀감자탕이라는 상호에 궁금해서 와봐써요! 사골국물베이스였고 뼈에 살도 실하고 사골과 감자탕을 같이 먹는 느낌! 반찬도 계속 가져다 먹을수 있고 주인분들도 넘 친절하세요 -,,0.586167157,2,2,0.076923077,0.076923077,1,1,117,3,28,0,0,-1,0,0,0.098560519,1,117
"https://map.naver.com/p/entry/place/1953650417?c=13.00,0,0,0,dh",두루정 인하대점,한식,미공개,418,감감1223,16,"쭈동이와 함께 먹는 두루치기
맛있어요🤗",2025-06-15,0.507403135,0,0,0,0,0,0,21,3,16,0,0,-1,0,0,0.097767444,1,21
"https://map.naver.com/p/entry/place/1032865736?c=13.00,0,0,0,dh",국민정서 인하대후문점,요리주점,미공개,409,규린62,57,"또롸써염 ㅎㅎ 조아여 ㅎㅎ
사장님도 엄청 친절하시규 안주가 여기 다맛있어요 한식파인 저에게 완전 최고의 플레이스!!❤️❤️",,0.503218889,1,0,0.066666667,0,1,0,68,3,57,0.022005772,0,-1,0,1,0.128521628,1,68
