도입_URL,가게이름,카테고리,전체평점,방문자리뷰,리뷰작성자,리뷰작성수,리뷰내용,방문시간,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,text_len
"https://map.naver.com/p/entry/place/1491726550?c=13.00,0,0,0,dh",정직유부 인하대점,분식,미공개,215,guo****,1,자극적이지 않아 좋아요 맛나게 잘 먹었습니다~~,2025-04-17,0.510681331,0,0,0,0,0,0,26,3,1,0.358974359,0,-1,FALSE,1,0.078777293,0,26
"https://map.naver.com/p/entry/place/32417603?c=15.00,0,0,0,dh",천지인,요리주점,미공개,185,Tenlaps,683,"친절하세요
가격은 가성비는 크게 느껴지진 않았네요",,0.800401211,1,0,0.166666667,0,1,0,27,3,681,0.037655524,0,-1,FALSE,0,0.076371673,0,27
"https://map.naver.com/p/entry/place/1710907962?c=13.00,0,0,0,dh",뭉클로 샌드위치 디저트,샌드위치,미공개,140,user173940,20,"샌드위치 속재료 모두 정말 신선해서 깜짝 놀랐고 브랜드 샌드위치들처럼 짜지도 달지도 않은 건강한 맛이라 백점만점에 이백점이에요. 같이 시킨 드립커피도 샌드위치와 궁합도 잘 맞고 향과 맛 모두 최고에요!!
깜짝선물을 주시긴 했지만 자주 오고 싶은 맛집이라 자발적으로 리뷰 꾸욱 남기고 갑니다
또 꼬옥 올께요!!
",,0.51034677,0,0,0,0,0,0,173,3,20,0,0,-1,FALSE,0,0.079646225,0,173
"https://map.naver.com/p/entry/place/1102006774?c=13.00,0,0,0,dh",샐러리아 인하대점,"다이어트,샐러드",미공개,634,앨리스앤드류,27,새로 생긴지 얼마 안된거 같아요! 깔끔하고 좋아요!,,0.503169477,0,0,0,0,0,0,28,3,27,0,0,-1,FALSE,1,0.075384425,0,28
"https://map.naver.com/p/entry/place/1711877761?c=13.00,0,0,0,dh",코피아,이탈리아음식,미공개,536,냥고야이리온,814,"진심 밖에서 볼 땐 몰랐는데 깜놀했어요!
너무 너무 맛있어요~!
꼭 한 번 들러서 맛보세요~
진심 감동!",,0.503825545,0,0,0,0,0,0,58,3,814,0.042420517,0,-1,FALSE,1,0.079564874,0,58
"https://map.naver.com/p/entry/place/1770290012?c=15.00,0,0,0,dh",커리야,인도음식,4.62,907,ju2****,18,"두번째방문
맛있어요
메뉴가다양해서 좋아요
매장이 넓고 쾌적해요",2025-02-24,0.502902269,1,1,0.142857143,0.142857143,1,1,34,3,18,0,0,-1,FALSE,0,0.079599334,0,34
"https://map.naver.com/p/entry/place/1953650417?c=13.00,0,0,0,dh",두루정 인하대점,한식,미공개,418,san****,18,"메인부터 사이드까지 다 맛있어요
나중엔 두루치기도 먹어보려고요",2025-05-22,0.511668622,1,0,0.142857143,0,1,0,34,3,18,0.006648856,1,-1,FALSE,0,0.07568793,0,34
"https://map.naver.com/p/entry/place/1090243948?c=13.00,0,0,0,dh",와이키키피자,피자,미공개,326,정민4452,24,맛있어서 피자 먹고싶을 때 자주 와요!!,2025-06-06,0.519698858,0,0,0,0,0,0,22,3,24,0,0,-1,FALSE,0,0.075052173,0,22
"https://map.naver.com/p/entry/place/1878533608?c=13.00,0,0,0,dh",빙그레정육식당 인하대본점,"육류,고기요리",미공개,651,매민94,22,너무 맛있어서 다른 친구 데리고 재방문 했어요!! 고기 질 좋고 반찬도 맛있어용🥹🥹 반주하기 최고입니다!!,2025-08-17,0.502936721,1,0,0.071428571,0,1,0,59,3,22,0,0,-1,FALSE,0,0.075287243,0,59
"https://map.naver.com/p/entry/place/1446239317?c=15.00,0,0,0,dh",국가대표109 인하대점,"육류,고기요리",미공개,175,스터디2,155,"정신없이 먹다보면 사진 찍는걸 잊게 되네요^^;; 다 먹었을 때 쯤에야 사진을 찍었습니다. 버섯이나 소세지, 치즈떡 등 같이 구워 먹을 수있는 재료들이 많아서 더욱 좋아요. 각자 고기 취향대로 선택의 폭도 넓어 좋아요. 인하대 후문 단체 모임에는 정말 안성맞춤~ 잘 먹었습니다 ㅎㅎ",,0.52144593,0,0,0,0,0,0,157,3,155,0.046952618,0,-1,FALSE,0,0.07588582,0,157
